RT @T3chFest: Ya puedes inscribirte a los talleres de #T3chFest2016 en https://t.co/D4AvfaGgRe ¡No te quedes sin plaza!,Thu Jan 28 18:02:34 +0000 2016,0,es,11
RT @T3chFest: #t3chfest2016 @asanzdiego nos hablará del orígen de la ética #hacker y su impacto en la tecnología https://t.co/35XJY9dVU3,Thu Jan 28 17:03:21 +0000 2016,0,es,2
"RT @T3chFest: Estamos reclutando voluntarios para #T3chFest2016. Si estás interesado en colaborar, mándanos un DM ☺",Thu Jan 28 15:58:18 +0000 2016,0,es,10
RT @T3chFest: 93 participantes en el concurso de programación ¿aún te lo estás pensando?¡Demuestra tus habilidades! #t3chfest2016 https://t…,Thu Jan 28 14:53:10 +0000 2016,0,es,7
"RT @T3chFest: Estamos reclutando voluntarios para #T3chFest2016. Si estás interesado en colaborar, mándanos un DM ☺",Thu Jan 28 14:50:12 +0000 2016,0,es,10
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 13:59:23 +0000 2016,0,es,10
RT @T3chFest: 93 participantes en el concurso de programación ¿aún te lo estás pensando?¡Demuestra tus habilidades! #t3chfest2016 https://t…,Thu Jan 28 13:59:13 +0000 2016,0,es,7
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 13:57:46 +0000 2016,0,es,10
RT @T3chFest: 93 participantes en el concurso de programación ¿aún te lo estás pensando?¡Demuestra tus habilidades! #t3chfest2016 https://t…,Thu Jan 28 13:57:39 +0000 2016,0,es,7
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 13:50:35 +0000 2016,0,es,10
93 participantes en el concurso de programación ¿aún te lo estás pensando?¡Demuestra tus habilidades! #t3chfest2016 https://t.co/U1RWpa5xbd,Thu Jan 28 13:50:27 +0000 2016,3,es,7
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 12:49:00 +0000 2016,0,es,10
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 12:47:13 +0000 2016,0,es,10
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 12:39:23 +0000 2016,0,es,10
RT @ciencia_uc3m: Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQ…,Thu Jan 28 12:35:01 +0000 2016,0,es,10
Interactúa con la tecnología e inscríbete en los talleres de #T3chFest2016. https://t.co/HMyeueeBo1 https://t.co/UQe76ZYQoz,Thu Jan 28 12:34:43 +0000 2016,5,es,10
"RT @beeva_es: En BEEVA buscamos el talento joven, por eso apoyamos proyectos como #t3chfest2016 https://t.co/9ezFUs6ztl",Thu Jan 28 08:57:18 +0000 2016,0,es,5
RT @T3chFest: Ya puedes inscribirte a los talleres de #T3chFest2016 en https://t.co/D4AvfaGgRe ¡No te quedes sin plaza!,Thu Jan 28 08:56:51 +0000 2016,0,es,11
"RT @T3chFest: Estamos reclutando voluntarios para #T3chFest2016. Si estás interesado en colaborar, mándanos un DM ☺",Thu Jan 28 08:56:04 +0000 2016,0,es,10
"RT @T3chFest: Estamos reclutando voluntarios para #T3chFest2016. Si estás interesado en colaborar, mándanos un DM ☺",Thu Jan 28 08:33:30 +0000 2016,0,es,10
RT @T3chFest: #t3chfest2016 @ilopmar de @kaleidosnet nos enseñará las facilidades del lenguaje Groovy en una hora de aventuras. https://t.c…,Thu Jan 28 07:51:39 +0000 2016,0,es,4
"RT @T3chFest: Estamos reclutando voluntarios para #T3chFest2016. Si estás interesado en colaborar, mándanos un DM ☺",Thu Jan 28 06:46:45 +0000 2016,0,es,10
